,pokedex_number,name,generation,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed
0,1,Bulbasaur,1,Seed Pokémon,Grass,Poison,0.7,6.9,Overgrow,None,Chlorophyll,318,45,49,49,65,65,45
1,2,Ivysaur,1,Seed Pokémon,Grass,Poison,1,13,Overgrow,None,Chlorophyll,405,60,62,63,80,80,60
2,3,Venusaur,1,Seed Pokémon,Grass,Poison,2,100,Overgrow,None,Chlorophyll,525,80,82,83,100,100,80
3,3,Mega Venusaur,1,Seed Pokémon,Grass,Poison,2.4,155.5,Thick Fat,None,None,625,80,100,123,122,120,80
4,4,Charmander,1,Lizard Pokémon,Fire,None,0.6,8.5,Blaze,None,Solar Power,309,39,52,43,60,50,65
5,5,Charmeleon,1,Flame Pokémon,Fire,None,1.1,19,Blaze,None,Solar Power,405,58,64,58,80,65,80
6,6,Charizard,1,Flame Pokémon,Fire,Flying,1.7,90.5,Blaze,None,Solar Power,534,78,84,78,109,85,100
7,6,Mega Charizard X,1,Flame Pokémon,Fire,Dragon,1.7,110.5,Tough Claws,None,None,634,78,130,111,130,85,100
8,6,Mega Charizard Y,1,Flame Pokémon,Fire,Flying,1.7,100.5,Drought,None,None,634,78,104,78,159,115,100
9,7,Squirtle,1,Tiny Turtle Pokémon,Water,None,0.5,9,Torrent,None,Rain Dish,314,44,48,65,50,64,43
10,8,Wartortle,1,Turtle Pokémon,Water,None,1,22.5,Torrent,None,Rain Dish,405,59,63,80,65,80,58
11,9,Blastoise,1,Shellfish Pokémon,Water,None,1.6,85.5,Torrent,None,Rain Dish,530,79,83,100,85,105,78
12,9,Mega Blastoise,1,Shellfish Pokémon,Water,None,1.6,101.1,Mega Launcher,None,None,630,79,103,120,135,115,78
13,10,Caterpie,1,Worm Pokémon,Bug,None,0.3,2.9,Shield Dust,None,Run Away,195,45,30,35,20,20,45
14,11,Metapod,1,Cocoon Pokémon,Bug,None,0.7,9.9,Shed Skin,None,None,205,50,20,55,25,25,30
15,12,Butterfree,1,Butterfly Pokémon,Bug,Flying,1.1,32,Compound Eyes,None,Tinted Lens,395,60,45,50,90,80,70
16,13,Weedle,1,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,Shield Dust,None,Run Away,195,40,35,30,20,20,50
17,14,Kakuna,1,Cocoon Pokémon,Bug,Poison,0.6,10,Shed Skin,None,None,205,45,25,50,25,25,35
18,15,Beedrill,1,Poison Bee Pokémon,Bug,Poison,1,29.5,Swarm,None,Sniper,395,65,90,40,45,80,75
19,15,Mega Beedrill,1,Poison Bee Pokémon,Bug,Poison,1.4,40.5,Adaptability,None,None,495,65,150,40,15,80,145
20,16,Pidgey,1,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56
21,17,Pidgeotto,1,Bird Pokémon,Normal,Flying,1.1,30,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71
22,18,Pidgeot,1,Bird Pokémon,Normal,Flying,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101
